**** BEGIN LOGGING AT Sat Apr 21 15:20:33 2018

Apr 21 15:20:33 *	Now talking on #z1unknown
Apr 21 15:20:37 <corasweetness>	@ziStorm kusLurk
Apr 21 15:20:48 <marco_39120>	TF2 is a classic
Apr 21 15:20:59 <raksbach123>	Why is it taking so long?
Apr 21 15:21:42 <sunderkeenin>	@z1unknown when you actually decide to play TF2 you're going to want to have made the settings not insane first. 75 FOV default, 100 ms interp by default(everything you do takes place 100 ms later), damage numbers, hitsounds, and killsounds off by default. B4nny has a settings video that covers most of it in his Death Merchant University series
Apr 21 15:21:58 <sunderkeenin>	fantastic game, but the default settings are some of the worst I've ever seen
Apr 21 15:22:08 <dejair199>	What is the Seris Deck pls?
Apr 21 15:22:12 <geist_des_todes>	wasn't Z gm ? CoolCat
Apr 21 15:22:13 <serraticx>	@z1unknown Take a drink for each min in que
Apr 21 15:22:16 <lsuperwomanl>	i havent played paladins in ages.. i used to play it a lot, i have like 400 hours
Apr 21 15:22:31 <raksbach123>	What time is in there? I m in Spain, here it is 22.22
Apr 21 15:22:33 <lsuperwomanl>	you're making me wanna play it againi
Apr 21 15:22:38 <uberfriedguy>	happy drinky saturday Kappa
Apr 21 15:22:41 <uberfriedguy>	FeelsLitMan
Apr 21 15:22:41 <phterenz9>	z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE
Apr 21 15:22:47 <corasweetness>	z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE
Apr 21 15:22:49 <headsteyker>	z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE
Apr 21 15:22:50 <corasweetness>	z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE
Apr 21 15:22:52 <corasweetness>	z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE
Apr 21 15:22:53 <antinator93>	z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE
Apr 21 15:22:53 <apathyqt>	@z1unknown stay full screen
Apr 21 15:22:53 <angeeee11>	RalpherZ RalpherZ OhMyDog OhMyDog OhMyDog OhMyDog OhMyDog
Apr 21 15:22:53 <z1unknown>	!shoutout hyugabb
Apr 21 15:22:54 <nightbot>	Make sure to give hyugabb a follow! HyugaBB was last seen playing Paladins . You can follow hyugabb at twitch.tv/hyugabb .
Apr 21 15:22:55 <corasweetness>	z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE z1androHYPE
Apr 21 15:22:58 <slimzari>	rnoobHype rnoobHype rnoobHype rnoobHype rnoobHype rnoobHype
Apr 21 15:23:00 <sabatour100>	moon2A no fun allowed moon2A
Apr 21 15:23:01 Python interface unloaded
Apr 21 15:23:01 FiSHLiM plugin unloaded
**** ENDING LOGGING AT Sat Apr 21 15:23:01 2018

